STAGE,DATASET,ROI,ROI_T,HPF,ANG,ANG_CORR,IL_ANG,DEG_IL,DEG_IL_CORR,DEG_IL_CORR-2,REGION,NOTES,,,,,,,,,,,,,,,
38,WT2,9,7,,-93.013,86.987,5.87,81.117,81.117,98.883,A,,,,,,,,,,,,,,,,
38,WT2,10,8,,-97.125,82.875,5.87,77.005,77.005,102.995,A,,,,,,,,,,,,,,,,
38,WT2,11,9,,-122.005,57.995,5.87,52.125,52.125,127.875,A,*Spindle rotated before division,,,,,,,,,,,,,,,
38,WT2,12,8,,-92.203,87.797,5.87,81.927,81.927,98.073,IL-A,,,,,,,,,,,,,,,,
38,WT2,13,10,,-59.534,120.466,5.87,114.596,114.596,65.404,IL-A,,,,,,,,,,,,,,,,
38,WT2,14,10,,-74.932,105.068,5.87,99.198,99.198,80.802,IL-A,,,,,,,,,,,,,,,,
38,WT2,15,12,,31.329,31.329,5.87,25.459,25.459,154.541,IL-P,,,,,,,,,,,,,,,,
38,WT2,16,13,,-92.203,87.797,5.87,81.927,81.927,98.073,IL-P,,,,,,,,,,,,,,,,
38,WT2,17,17,,-130.101,49.899,5.87,44.029,44.029,135.971,P,,,,,,,,,,,,,,,,
38,WT2,18,16,,-64.983,115.017,5.87,109.147,109.147,70.853,P,,,,,,,,,,,,,,,,
38,WT2,19,15,,-23.962,156.038,5.87,150.168,150.168,29.832,IL-P,,,,,,,,,,,,,,,,
38,WT2,20,17,,-120.256,59.744,5.87,53.874,53.874,126.126,P,,,,,,,,,,,,,,,,
38,WT2,21,16,,15.945,15.945,5.87,10.075,10.075,169.925,P,,,,,,,,,,,,,,,,
38,WT2,22,19,,-38.29,141.71,5.87,135.84,135.84,44.16,P,,,,,,,,,,,,,,,,
38,WT2,23,19,,-75.964,104.036,5.87,98.166,98.166,81.834,P,,,,,,,,,,,,,,,,
38,WT2,24,19,,-154.983,25.017,5.87,19.147,19.147,160.853,P,,,,,,,,,,,,,,,,
38,WT2,25,21,,-9.09,170.91,5.87,165.04,165.04,14.96,P,,,,,,,,,,,,,,,,
38,WT2,26,21,,-152.103,27.897,5.87,22.027,22.027,157.973,P,,,,,,,,,,,,,,,,
38,WT2,27,17,,-9.462,170.538,5.87,164.668,164.668,15.332,P,,,,,,,,,,,,,,,,
38,WT2,28,17,,-8.531,171.469,5.87,165.599,165.599,14.401,A,,,,,,,,,,,,,,,,
38,WT2,29,20,,-25.346,154.654,5.87,148.784,148.784,31.216,P,,,,,,,,,,,,,,,,
38,WT2,30,20,,22.62,22.62,5.87,16.75,16.75,163.25,P,,,,,,,,,,,,,,,,
38,WT2,31,20,,-141.633,38.367,5.87,32.497,32.497,147.503,P,,,,,,,,,,,,,,,,
